instrument_id,timestamp,open,high,low,close,volume
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70391.0,70378.0,70391.0,0.53206
VVV-USD-PERP.HYPERLIQUID,1771149480000,3.9262,3.9334,3.9146,3.925,4297.48
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.54,1363.5
kLUNC-USD-PERP.HYPERLIQUID,1771149480000,0.036727,0.036727,0.036485,0.036541,134253.0
BNB-USD-PERP.HYPERLIQUID,1771149480000,629.93,630.15,629.93,630.15,0.32
MOODENG-USD-PERP.HYPERLIQUID,1771149480000,0.060355,0.060355,0.060355,0.060355,538.0
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.54,1365.77
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70391.0,70378.0,70390.0,0.53223
DOGE-USD-PERP.HYPERLIQUID,1771149480000,0.11445,0.11454,0.11442,0.11454,1304.0
NEAR-USD-PERP.HYPERLIQUID,1771149480000,1.0788,1.0788,1.0788,1.0788,44.4
BNB-USD-PERP.HYPERLIQUID,1771149480000,629.93,630.15,629.93,630.15,0.592
BSV-USD-PERP.HYPERLIQUID,1771149480000,17.777,17.777,17.777,17.777,24.62
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70391.0,70378.0,70390.0,0.53323
DASH-USD-PERP.HYPERLIQUID,1771149480000,40.081,40.109,40.081,40.099,29.83
ICP-USD-PERP.HYPERLIQUID,1771149480000,2.5101,2.5101,2.5101,2.5101,6.1
NIL-USD-PERP.HYPERLIQUID,1771149480000,0.054727,0.054838,0.05472,0.054838,12799.0
TRX-USD-PERP.HYPERLIQUID,1771149480000,0.281,0.281,0.281,0.281,2059.0
ALGO-USD-PERP.HYPERLIQUID,1771149480000,0.098699,0.098699,0.098699,0.098699,284.0
HEMI-USD-PERP.HYPERLIQUID,1771149480000,0.010475,0.010475,0.010458,0.010458,7865.0
TRX-USD-PERP.HYPERLIQUID,1771149480000,0.281,0.281,0.281,0.281,2245.0
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.53,1376.41
UMA-USD-PERP.HYPERLIQUID,1771149480000,0.51861,0.51871,0.51861,0.51871,106.6
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.6,1376.7
NIL-USD-PERP.HYPERLIQUID,1771149480000,0.054727,0.054838,0.05472,0.054822,14484.0
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70391.0,70378.0,70390.0,0.53398
LIT-USD-PERP.HYPERLIQUID,1771149480000,1.7099,1.7128,1.709,1.7128,1350.0
AVAX-USD-PERP.HYPERLIQUID,1771149480000,9.5889,9.591,9.5872,9.5872,132.0
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70391.0,70378.0,70390.0,0.53438
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.62,1386.5
MELANIA-USD-PERP.HYPERLIQUID,1771149480000,0.12414,0.12414,0.12414,0.12414,5000.0
SOL-USD-PERP.HYPERLIQUID,1771149480000,89.916,89.955,89.883,89.948,882.0
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.61,1388.95
BNB-USD-PERP.HYPERLIQUID,1771149480000,629.93,630.15,629.93,630.15,0.87
ETH-USD-PERP.HYPERLIQUID,1771149480000,2067.5,2067.6,2066.9,2067.5,6.6971
SOL-USD-PERP.HYPERLIQUID,1771149480000,89.916,89.955,89.883,89.948,927.5
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.62,1393.06
BERA-USD-PERP.HYPERLIQUID,1771149540000,0.66633,0.66633,0.6662,0.6662,1156.2
BNB-USD-PERP.HYPERLIQUID,1771149480000,629.93,630.15,629.93,630.15,1.148
HYPE-USD-PERP.HYPERLIQUID,1771149540000,31.127,31.127,31.127,31.127,0.37
MNT-USD-PERP.HYPERLIQUID,1771149540000,0.67259,0.67259,0.67259,0.67259,1332.4
VVV-USD-PERP.HYPERLIQUID,1771149540000,3.9241,3.9296,3.9241,3.9296,712.03
XRP-USD-PERP.HYPERLIQUID,1771149540000,1.5904,1.5904,1.5904,1.5904,130.0
ZEC-USD-PERP.HYPERLIQUID,1771149540000,310.67,310.67,310.67,310.67,0.04
DASH-USD-PERP.HYPERLIQUID,1771149540000,40.099,40.099,40.099,40.099,5.02
SOL-USD-PERP.HYPERLIQUID,1771149540000,89.949,89.949,89.949,89.949,2.62
SOPH-USD-PERP.HYPERLIQUID,1771149540000,0.010082,0.010082,0.010082,0.010082,3533.0
BTC-USD-PERP.HYPERLIQUID,1771149540000,70390.0,70390.0,70390.0,70390.0,0.01661
ENA-USD-PERP.HYPERLIQUID,1771149540000,0.12731,0.12731,0.12731,0.12731,323.0
SPX-USD-PERP.HYPERLIQUID,1771149540000,0.33205,0.33205,0.33205,0.33205,390.0
TRX-USD-PERP.HYPERLIQUID,1771149540000,0.281,0.281,0.281,0.281,253.0
VVV-USD-PERP.HYPERLIQUID,1771149540000,3.9241,3.93,3.9241,3.93,1340.16
YGG-USD-PERP.HYPERLIQUID,1771149540000,0.042459,0.042459,0.042459,0.042459,395.0
ZEC-USD-PERP.HYPERLIQUID,1771149540000,310.67,310.7,310.67,310.7,2.16
ETC-USD-PERP.HYPERLIQUID,1771149540000,9.0424,9.0424,9.0424,9.0424,17.42
